Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Anheuser-Busch InBev Finance Inc,ABIBB,1.9,2/1/2019,1.8543146,1.8543146,AT MATURITY,4000000000,USD,US,1/13/2016,FIXED,A-,(P)A3
Anheuser-Busch InBev Finance Inc,ABIBB,1.9,2/1/2019,1.8543146,1.8543146,AT MATURITY,4000000000,USD,US,1/13/2016,FIXED,A-,(P)A3
Anheuser-Busch InBev Finance Inc,ABIBB,2.15,2/1/2019,1.8723723,1.8723723,AT MATURITY,1250000000,USD,US,1/22/2014,FIXED,A-,A2 /*-
Anheuser-Busch InBev Worldwide Inc,ABIBB,1.375,7/15/2017,1.3748444,1.3748444,AT MATURITY,2000000000,USD,US,7/11/2012,FIXED,A-,A2 /*-
JPMorgan Chase & Co,JPM,2.25,1/23/2020,2.5537151,2.5537151,CALLABLE,3750000000,USD,US,1/15/2015,FIXED,A-,A3
JPMorgan Chase & Co,JPM,6,1/15/2018,1.5923035,1.5923035,AT MATURITY,5000000000,USD,US,12/13/2007,FIXED,A-,A3
JPMorgan Chase & Co,JPM,2.2,10/22/2019,2.2455324,2.2455324,AT MATURITY,2000000000,USD,US,10/15/2014,FIXED,A-,A3
American Express Credit Corp,AXP,2.125,3/18/2019,2.0008425,2.0008425,AT MATURITY,1250000000,USD,US,3/13/2014,FIXED,A-,A2
Anheuser-Busch InBev Worldwide Inc,ABIBB,7.75,1/15/2019,2.0885915,2.0885915,AT MATURITY,2496857000,USD,US,2/9/2011,FIXED,A-,A2 /*-
Anheuser-Busch InBev Worldwide Inc,ABIBB,5.375,1/15/2020,2.5893413,2.5893413,AT MATURITY,2249250000,USD,US,1/6/2010,FIXED,A-,A2 /*-
Anheuser-Busch InBev Finance Inc,ABIBB,1.25,1/17/2018,1.5264017,1.5264017,AT MATURITY,1000000000,USD,US,1/14/2013,FIXED,A-,A2 /*-
JPMorgan Chase & Co,JPM,2,8/15/2017,1.5459239,1.5459239,AT MATURITY,2500000000,USD,US,8/13/2012,FIXED,A-,A3
JPMorgan Chase Bank NA,JPM,6,10/1/2017,2.3492602,2.3492602,AT MATURITY,3000000000,USD,US,9/19/2007,FIXED,A-,A1
JPMorgan Chase & Co,JPM,1.625,5/15/2018,1.8770272,1.8770272,AT MATURITY,2000000000,USD,US,5/8/2013,FIXED,A-,A3
JPMorgan Chase & Co,JPM,2.35,1/28/2019,2.0765112,2.0765112,AT MATURITY,1500000000,USD,US,1/21/2014,FIXED,A-,A3
JPMorgan Chase & Co,JPM,2.35,1/28/2019,2.0765112,2.0765112,AT MATURITY,1500000000,USD,US,1/21/2014,FIXED,A-,A3
JPMorgan Chase & Co,JPM,1.8,1/25/2018,1.6067646,1.6067646,AT MATURITY,1250000000,USD,US,1/17/2013,FIXED,A-,A3
Broadcom Corp,BRCM,2.7,11/1/2018,2.6109327,2.6109327,AT MATURITY,500000000,USD,US,11/4/2011,FIXED,A- /*-,A2 /*-
JPMorgan Chase & Co,JPM,6.3,4/23/2019,2.1686481,2.1686481,AT MATURITY,3000000000,USD,US,4/16/2009,FIXED,A-,A3
American International Group Inc,AIG,2.3,7/16/2019,2.5955519,2.5955519,CALLABLE,1000000000,USD,US,7/9/2014,FIXED,A-,Baa1
American International Group Inc,AIG,2.3,7/16/2019,2.5955519,2.5955519,CALLABLE,1000000000,USD,US,7/9/2014,FIXED,A-,Baa1
EI du Pont de Nemours & Co,DD,6,7/15/2018,1.9144202,1.9144202,AT MATURITY,1250000000,USD,US,7/23/2008,FIXED,A- /*-,A3
Anheuser-Busch Cos LLC,ABIBB,5.5,1/15/2018,1.5743937,1.5743937,AT MATURITY,500000000,USD,US,11/27/2007,FIXED,A-,A2 /*-
