Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Apple Inc,AAPL,2.85,5/6/2021,2.1899495,2.1899495,AT MATURITY,3000000000,USD,US,4/29/2014,FIXED,AA+,Aa1
Apple Inc,AAPL,2.85,5/6/2021,2.1899495,2.1899495,AT MATURITY,3000000000,USD,US,4/29/2014,FIXED,AA+,Aa1
General Electric Co,GE,2.7,10/9/2022,2.516981,2.516981,AT MATURITY,3000000000,USD,US,10/1/2012,FIXED,AA+,A1
Apple Inc,AAPL,2,5/6/2020,1.802403395,1.802403395,AT MATURITY,1250000000,USD,US,5/6/2015,FIXED,AA+,Aa1
Apple Inc,AAPL,2.7,5/13/2022,2.4619909,2.4619909,AT MATURITY,1250000000,USD,US,5/6/2015,FIXED,AA+,Aa1
Federal Home Loan Mortgage Corp,FHLMC,2.375,1/13/2022,1.7047457,1.7047457,AT MATURITY,7000000000,USD,US,1/12/2012,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,2.2,10/25/2022,2.2319242,2.2319242,CALLABLE,250000000,USD,US,10/10/2012,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,1.875,12/28/2020,1.4615107,1.4615107,AT MATURITY,3000000000,USD,US,11/13/2015,FIXED,AA+,Aaa
Federal National Mortgage Association,FNMA,2.26,12/12/2022,2.2200025,-0.00795498,CALLABLE,500000000,USD,US,11/20/2012,FIXED,AA+,Aaa
Federal Home Loan Banks,FHLB,1.875,12/11/2020,1.4709761,1.4709761,AT MATURITY,209430000,USD,US,1/2/2015,FIXED,AA+,Aaa
Apple Inc,AAPL,2.15,2/9/2022,2.3206677,2.3206677,AT MATURITY,1250000000,USD,US,2/2/2015,FIXED,AA+,Aa1
Federal National Mortgage Association,FNMA,1.5,11/30/2020,1.4606866,1.4606866,AT MATURITY,3000000000,USD,US,10/14/2015,FIXED,AA+,#N/A N/A
