Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Microsoft Corp,MSFT,3.125,11/3/2025,2.8321976,2.82584136,CALLABLE,3000000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,3.125,11/3/2025,2.8321976,2.82584136,CALLABLE,3000000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,4.45,11/3/2045,4.3339409,4.3329713,CALLABLE,3000000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,4.45,11/3/2045,4.3339409,4.3329713,CALLABLE,3000000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Exxon Mobil Corp,XOM,2.709,3/6/2025,2.8691869,2.8691869,CALLABLE,1750000000,USD,US,3/3/2015,FIXED,AAA,Aaa
Exxon Mobil Corp,XOM,2.709,3/6/2025,2.8691869,2.8691869,CALLABLE,1750000000,USD,US,3/3/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,2,11/3/2020,1.7942901,1.79091443,CALLABLE,2250000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,2,11/3/2020,1.7942901,1.79091443,CALLABLE,2250000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Exxon Mobil Corp,XOM,3.567,3/6/2045,4.1015556,4.1015556,CALLABLE,1000000000,USD,US,3/3/2015,FIXED,AAA,Aaa
Exxon Mobil Corp,XOM,3.567,3/6/2045,4.1015556,4.1015556,CALLABLE,1000000000,USD,US,3/3/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,1.625,12/6/2018,1.2075621,1.2075621,AT MATURITY,1250000000,USD,US,12/3/2013,FIXED,AAA,Aaa
Exxon Mobil Corp,XOM,1.912,3/6/2020,1.8845199,1.88412062,CALLABLE,1500000000,USD,US,3/3/2015,FIXED,AAA,Aaa
Exxon Mobil Corp,XOM,1.912,3/6/2020,1.8845199,1.88412062,CALLABLE,1500000000,USD,US,3/3/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,2.7,2/12/2025,2.5924382,2.58994911,CALLABLE,2250000000,USD,US,2/9/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,2.65,11/3/2022,2.4151752,2.40998843,CALLABLE,1000000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,2.375,5/1/2023,2.3531453,2.3526585,CALLABLE,1000000000,USD,US,4/25/2013,FIXED,AAA,Aaa
Microsoft Corp,MSFT,1.3,11/3/2018,1.1477928,1.1477928,AT MATURITY,1750000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,1.3,11/3/2018,1.1477928,1.1477928,AT MATURITY,1750000000,USD,US,10/29/2015,FIXED,AAA,Aaa
Exxon Mobil Corp,XOM,1.305,3/6/2018,1.3131251,1.3131251,AT MATURITY,1600000000,USD,US,3/3/2015,FIXED,AAA,Aaa
Microsoft Corp,MSFT,4,2/8/2021,1.500972,1.500972,AT MATURITY,500000000,USD,US,2/3/2011,FIXED,AAA,Aaa
Microsoft Corp,MSFT,3.5,2/12/2035,3.7832862,3.7832862,CALLABLE,1500000000,USD,US,2/9/2015,FIXED,AAA,Aaa
