Name,Ticker,Coupon,Maturity,Ask Yield to Maturity,Ask Yield To Convention,Maturity Type,Issued Amount,Currency,Country,Announce,Coupon Type,S&P,Moody's
Macy's Retail Holdings Inc,M,3.45,1/15/2021,3.426427,3.426427,CALLABLE,500000000,USD,US,12/7/2015,FIXED,BBB+ /*-,Baa2
Macy's Retail Holdings Inc,M,3.45,1/15/2021,3.426427,3.426427,CALLABLE,500000000,USD,US,12/7/2015,FIXED,BBB+ /*-,Baa2
AT&T Inc,T,3,6/30/2022,3.3668687,3.3668687,CALLABLE,2750000000,USD,US,4/23/2015,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,2.75,9/15/2020,2.756584,2.756584,CALLABLE,2000000000,USD,US,9/8/2015,FIXED,BBB+,A3
Goldman Sachs Group Inc/The,GS,2.75,9/15/2020,2.756584,2.756584,CALLABLE,2000000000,USD,US,9/8/2015,FIXED,BBB+,A3
Citigroup Inc,C,2.65,10/26/2020,2.7500572,2.7500572,AT MATURITY,2700000000,USD,US,10/19/2015,FIXED,BBB+,Baa1
Citigroup Inc,C,2.65,10/26/2020,2.7500572,2.7500572,AT MATURITY,2700000000,USD,US,10/19/2015,FIXED,BBB+,Baa1
Morgan Stanley,MS,2.8,6/16/2020,2.7376791,2.7376791,AT MATURITY,2500000000,USD,US,6/11/2015,FIXED,BBB+,A3
Morgan Stanley,MS,2.8,6/16/2020,2.7376791,2.7376791,AT MATURITY,2500000000,USD,US,6/11/2015,FIXED,BBB+,A3
Devon Energy Corp,DVN,3.25,5/15/2022,7.153863,7.153863,CALLABLE,1000000000,USD,US,5/7/2012,FIXED,BBB+,Baa1 /*-
Ecolab Inc,ECL,3.25,1/14/2023,3.091105,3.087987,CALLABLE,400000000,USD,US,1/11/2016,FIXED,BBB+,Baa1
AT&T Inc,T,2.45,6/30/2020,2.7878877,2.7878877,CALLABLE,3000000000,USD,US,4/23/2015,FIXED,BBB+,Baa1
AT&T Inc,T,2.45,6/30/2020,2.7878877,2.7878877,CALLABLE,3000000000,USD,US,4/23/2015,FIXED,BBB+,Baa1
McDonald's Corp,MCD,2.75,12/9/2020,2.463435,2.45898027,CALLABLE,1000000000,USD,US,12/2/2015,FIXED,BBB+,Baa1
McDonald's Corp,MCD,2.75,12/9/2020,2.463435,2.45898027,CALLABLE,1000000000,USD,US,12/2/2015,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,5.25,7/27/2021,2.9985785,2.9985785,AT MATURITY,3750000000,USD,US,7/22/2011,FIXED,BBB+,A3
eBay Inc,EBAY,2.875,8/1/2021,2.9747231,2.9747231,CALLABLE,750000000,USD,US,7/23/2014,FIXED,BBB+,Baa1
eBay Inc,EBAY,2.875,8/1/2021,2.9747231,2.9747231,CALLABLE,750000000,USD,US,7/23/2014,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,2.6,4/23/2020,2.6700738,2.6700738,CALLABLE,1700000000,USD,US,1/20/2015,FIXED,BBB+,A3
Citigroup Inc,C,2.4,2/18/2020,2.3972533,2.3972533,AT MATURITY,2000000000,USD,US,2/10/2015,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,5.75,1/24/2022,3.2637523,3.2637523,AT MATURITY,4500000000,USD,US,1/19/2012,FIXED,BBB+,A3
eBay Inc,EBAY,2.6,7/15/2022,3.4011097,3.4011097,CALLABLE,1000000000,USD,US,7/19/2012,FIXED,BBB+,Baa1
Goldman Sachs Group Inc/The,GS,3.625,1/22/2023,3.3870075,3.3870075,AT MATURITY,2250000000,USD,US,1/16/2013,FIXED,BBB+,A3
Verizon Communications Inc,VZ,3,11/1/2021,2.8357553,2.83164339,CALLABLE,1500000000,USD,US,10/22/2014,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,4.5,9/15/2020,2.5629819,2.5629819,AT MATURITY,4000000000,USD,US,9/11/2013,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,2.625,2/21/2020,2.3197685,2.3197685,AT MATURITY,3304145000,USD,US,2/11/2015,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,2.625,2/21/2020,2.3197685,2.3197685,AT MATURITY,3304145000,USD,US,2/11/2015,FIXED,BBB+,Baa1
Citigroup Inc,C,4.5,1/14/2022,3.0289615,3.0289615,AT MATURITY,2500000000,USD,US,10/25/2011,FIXED,BBB+,Baa1
Macy's Retail Holdings Inc,M,3.875,1/15/2022,4.2888147,4.2888147,CALLABLE,550000000,USD,US,1/10/2012,FIXED,BBB+ /*-,Baa2
CVS Health Corp,CVS,2.8,7/20/2020,2.3793144,2.37204606,CALLABLE,2750000000,USD,US,7/13/2015,FIXED,BBB+,Baa1
CVS Health Corp,CVS,2.8,7/20/2020,2.3793144,2.37204606,CALLABLE,2750000000,USD,US,7/13/2015,FIXED,BBB+,Baa1
Lockheed Martin Corp,LMT,2.5,11/23/2020,2.0903785,2.08375464,CALLABLE,1250000000,USD,US,11/16/2015,FIXED,BBB+,Baa1
Lockheed Martin Corp,LMT,2.5,11/23/2020,2.0903785,2.08375464,CALLABLE,1250000000,USD,US,11/16/2015,FIXED,BBB+,Baa1
Morgan Stanley,MS,2.65,1/27/2020,2.6379306,2.6379306,AT MATURITY,2500000000,USD,US,1/22/2015,FIXED,BBB+,A3
AT&T Inc,T,3,2/15/2022,3.3120707,3.3120707,AT MATURITY,1850000000,USD,US,2/8/2012,FIXED,BBB+,Baa1
AT&T Inc,T,4.45,5/15/2021,2.8725447,2.8725447,AT MATURITY,1250000000,USD,US,4/26/2011,FIXED,BBB+,Baa1
Devon Energy Corp,DVN,4,7/15/2021,8.4525605,8.4525605,CALLABLE,500000000,USD,US,7/5/2011,FIXED,BBB+,Baa1 /*-
Devon Energy Corp,DVN,4,7/15/2021,8.4525605,8.4525605,CALLABLE,500000000,USD,US,7/5/2011,FIXED,BBB+,Baa1 /*-
Apache Corp,APA,2.625,1/15/2023,5.2127232,5.2127232,CALLABLE,1200000000,USD,US,11/28/2012,FIXED,BBB+,Baa1 /*-
Phillips 66,PSX,4.3,4/1/2022,3.9369105,3.9369105,AT MATURITY,1998000000,USD,US,11/15/2012,FIXED,BBB+,A3
Apache Corp,APA,3.25,4/15/2022,5.1848505,5.1848505,CALLABLE,1100000000,USD,US,4/3/2012,FIXED,BBB+,Baa1 /*-
AT&T Inc,T,2.625,12/1/2022,3.2163044,3.2163044,CALLABLE,1500000000,USD,US,12/6/2012,FIXED,BBB+,Baa1
Celgene Corp,CELG,3.55,8/15/2022,3.2341823,3.2341823,AT MATURITY,1000000000,USD,US,8/3/2015,FIXED,BBB+,Baa2
Macy's Retail Holdings Inc,M,2.875,2/15/2023,4.5629604,4.5629604,CALLABLE,750000000,USD,US,11/14/2012,FIXED,BBB+ /*-,Baa2
Verizon Communications Inc,VZ,3.5,11/1/2021,2.9470519,2.9470519,AT MATURITY,1850000000,USD,US,10/27/2011,FIXED,BBB+,Baa1
Reliance Holding USA Inc,RILIN,5.4,2/14/2022,3.5633043,3.5633043,AT MATURITY,1500000000,USD,US,2/9/2012,FIXED,BBB+,Baa2
Altria Group Inc,MO,2.85,8/9/2022,2.8076905,2.8076905,AT MATURITY,1900000000,USD,US,8/6/2012,FIXED,BBB+,Baa1
CVS Health Corp,CVS,3.5,7/20/2022,2.7258456,2.7079352,CALLABLE,1500000000,USD,US,7/13/2015,FIXED,BBB+,Baa1
Bank of America Corp,BAC,5.7,1/24/2022,3.0844405,3.0844405,AT MATURITY,2250000000,USD,US,1/19/2012,FIXED,BBB+,Baa1
Verizon Communications Inc,VZ,2.45,11/1/2022,2.9023576,2.9023576,CALLABLE,1750000000,USD,US,11/2/2012,FIXED,BBB+,Baa1
Morgan Stanley,MS,3.75,2/25/2023,3.409891,3.409891,AT MATURITY,2500000000,USD,US,2/20/2013,FIXED,BBB+,A3
Teva Pharmaceutical Finance IV LLC,TEVA,2.25,3/18/2020,2.6727139,2.6727139,AT MATURITY,700000000,USD,US,12/13/2012,FIXED,BBB+ /*-,Baa1 /*-
Volkswagen Group of America Finance LLC,VW,2.4,5/22/2020,3.4667248,3.4667248,AT MATURITY,750000000,USD,US,5/19/2015,FIXED,BBB+,A3
Reliance Holding USA Inc,RILIN,4.5,10/19/2020,2.9199064,2.9199064,AT MATURITY,1000000000,USD,US,10/14/2010,FIXED,BBB+,Baa2
American Express Co,AXP,2.65,12/2/2022,3.0548043,3.0548043,AT MATURITY,1266364000,USD,US,1/28/2013,FIXED,BBB+,A3
Morgan Stanley,MS,5.75,1/25/2021,2.830857,2.830857,AT MATURITY,2750000000,USD,US,1/20/2011,FIXED,BBB+,A3
Fifth Third Bancorp,FITB,2.875,7/27/2020,2.5583749,2.55302504,CALLABLE,1100000000,USD,US,7/22/2015,FIXED,BBB+,Baa1
Southern Co/The,SO,2.75,6/15/2020,2.6606599,2.65930263,CALLABLE,600000000,USD,US,6/9/2015,FIXED,BBB+,Baa1
AT&T Inc,T,3.875,8/15/2021,3.0609569,3.0609569,AT MATURITY,1500000000,USD,US,8/15/2011,FIXED,BBB+,Baa1
Priceline Group Inc/The,PCLN,0.35,6/15/2020,-1.9416976026,-1.9416976026,CONVERTIBLE,1000000000,USD,US,5/30/2013,FIXED,BBB+,#N/A N/A
Priceline Group Inc/The,PCLN,0.9,9/15/2021,1.5966735042,1.5966735042,CONVERTIBLE,1000000000,USD,US,8/15/2014,FIXED,BBB+,#N/A N/A
Celgene Corp,CELG,2.875,8/15/2020,2.6518886,2.6518886,AT MATURITY,1500000000,USD,US,8/3/2015,FIXED,BBB+,Baa2
Celgene Corp,CELG,2.875,8/15/2020,2.6518886,2.6518886,AT MATURITY,1500000000,USD,US,8/3/2015,FIXED,BBB+,Baa2
Ecolab Inc,ECL,4.35,12/8/2021,2.8117466,2.8117466,AT MATURITY,1250000000,USD,US,12/5/2011,FIXED,BBB+,Baa1
Ecolab Inc,ECL,4.35,12/8/2021,2.8117466,2.8117466,AT MATURITY,1250000000,USD,US,12/5/2011,FIXED,BBB+,Baa1
Enterprise Products Operating LLC,EPD,5.2,9/1/2020,4.2086964,4.2086964,AT MATURITY,1000000000,USD,US,5/11/2010,FIXED,BBB+,Baa1
Enterprise Products Operating LLC,EPD,5.2,9/1/2020,4.2086964,4.2086964,AT MATURITY,1000000000,USD,US,5/11/2010,FIXED,BBB+,Baa1
Bank of America Corp,BAC,5.875,1/5/2021,3.0515875,3.0515875,AT MATURITY,1500000000,USD,US,12/16/2010,FIXED,BBB+,Baa1
Apache Corp,APA,3.625,2/1/2021,4.7896184,4.7896184,CALLABLE,500000000,USD,US,11/30/2010,FIXED,BBB+,Baa1 /*-
Apache Corp,APA,3.625,2/1/2021,4.7896184,4.7896184,CALLABLE,500000000,USD,US,11/30/2010,FIXED,BBB+,Baa1 /*-
Johnson Controls Inc,JCI,3.75,12/1/2021,3.1630289,3.14005465,CALLABLE,450000000,USD,US,11/29/2011,FIXED,BBB+ /*,Baa2
Johnson Controls Inc,JCI,3.75,12/1/2021,3.1630289,3.14005465,CALLABLE,450000000,USD,US,11/29/2011,FIXED,BBB+ /*,Baa2
